x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x,x
0,Figure,0,SAS support,icon_body_e_sas_supp,1,0,0,body_mp_sas_urban_support,,viewhands_black_kit,60,60,SASFunction,SASAbility,...,,,,
1,Figure,1,Ada Wong,icon_body_e_ada,1,0,0,escape_body_ada,,viewhands_black_kit,10,80,SASFunction,SASAbility,...,,,,
2,Figure,2,Nico,icon_body_e_nico,1,0,0,playermodel_GTA_IV_NICO,,viewhands_black_kit,40,50,SASFunction,SASAbility,...,,,,
3,Figure,3,,,,,,,,,,,,,,,,,
4,Figure,4,,,,,,,,,,,,,,,,,
5,Figure,5,,,,,,,,,,,,,,,,,
6,Figure,6,,,,,,,,,,,,,,,,,
7,Figure,7,,,,,,,,,,,,,,,,,
8,Figure,8,,,,,,,,,,,,,,,,,
9,Figure,9,,,,,,,,,,,,,,,,,
10,Figure,10,,,,,,,,,,,,,,,,,
11,Figure,11,,,,,,,,,,,,,,,,,
12,Figure,12,,,,,,,,,,,,,,,,,
13,Figure,13,,,,,,,,,,,,,,,,,
14,Figure,14,,,,,,,,,,,,,,,,,
15,Figure,15,,,,,,,,,,,,,,,,,
16,Figure,16,,,,,,,,,,,,,,,,,
17,Figure,17,,,,,,,,,,,,,,,,,
18,Figure,18,,,,,,,,,,,,,,,,,
19,Figure,19,,,,,,,,,,,,,,,,,
20,Weapon,20,BERETTA,weapon_m9beretta,1,0,0,beretta_mp,100,100,,,,,,,,,
21,Weapon,21,COLT1911,weapon_colt_45,1,0,0,colt45_mp,100,100,,,,,,,,,
22,Weapon,22,USP,weapon_usp_45,1,0,0,usp_mp,100,100,,,,,,,,,
23,Weapon,23,DESERTEAGLE,weapon_desert_eagle,1,0,0,deserteagle_mp,100,100,,,,,,,,,
24,Weapon,24,DESERTEAGLEGOLD,weapon_desert_eagle_gold,1,0,0,deserteaglegold_mp,100,100,,,,,,,,,
25,Weapon,25,SA1911,weapon_sa1911,1,0,0,briefcase_bomb_mp,100,100,,,,,,,,,
26,Weapon,26,MK22,weapon_mk22,1,0,0,cobra_20mm_mp,100,100,,,,,,,,,
27,Weapon,27,Five 7,weapon_five7,1,0,0,beretta_silencer_mp,100,100,,,,,,,,,
28,Weapon,28,Kimber,weapon_kimber,1,0,0,usp_silencer_mp,100,100,,,,,,,,,
29,Weapon,29,T850,weapon_taurus,1,0,0,skorpion_reflex_mp,100,100,,,,,,,,,
30,Weapon,30,Magnum,weapon_mw2_magnum,1,0,0,colt45_silencer_mp,100,100,,,,,,,,,
31,Weapon,31,Glock,weapon_glock,1,0,0,skorpion_acog_mp,100,100,,,,,,,,,
32,Weapon,32,,,,,,,,,,,,,,,,,
33,Weapon,33,,,,,,,,,,,,,,,,,
34,Weapon,34,,,,,,,,,,,,,,,,,
35,Weapon,35,,,,,,,,,,,,,,,,,
36,Weapon,36,,,,,,,,,,,,,,,,,
37,Weapon,37,,,,,,,,,,,,,,,,,
38,Weapon,38,,,,,,,,,,,,,,,,,
39,Weapon,39,,,,,,,,,,,,,,,,,
40,FirstPerk,40,STOPPING_POWER,specialty_bulletdamage,1,0,0,specialty_bulletdamage,,,,,,,,,,,
41,FirstPerk,41,SONIC_BOOM,specialty_explosivedamage,1,0,0,specialty_explosivedamage,,,,,,,,,,,
42,FirstPerk,42,DEEP_IMPACT,specialty_bulletpenetration,1,0,0,specialty_bulletpenetration,,,,,,,,,,,
43,FirstPerk,43,STEADY_AIM,specialty_bulletaccuracy,1,0,0,specialty_bulletaccuracy,,,,,,,,,,,
44,FirstPerk,44,DOUBLE_TAP,specialty_rof,1,0,0,specialty_rof,,,,,,,,,,,
45,FirstPerk,45,,,,,,,,,,,,,,,,,
46,FirstPerk,46,,,,,,,,,,,,,,,,,
47,FirstPerk,47,,,,,,,,,,,,,,,,,
48,FirstPerk,48,,,,,,,,,,,,,,,,,
49,FirstPerk,49,,,,,,,,,,,,,,,,,
50,FirstPerk,50,,,,,,,,,,,,,,,,,
51,FirstPerk,51,,,,,,,,,,,,,,,,,
52,FirstPerk,52,,,,,,,,,,,,,,,,,
53,FirstPerk,53,,,,,,,,,,,,,,,,,
54,FirstPerk,54,,,,,,,,,,,,,,,,,
55,FirstPerk,55,,,,,,,,,,,,,,,,,
56,FirstPerk,56,,,,,,,,,,,,,,,,,
57,FirstPerk,57,,,,,,,,,,,,,,,,,
58,FirstPerk,58,,,,,,,,,,,,,,,,,
59,FirstPerk,59,,,,,,,,,,,,,,,,,
60,SecondPerk,60,EXTREME_CONDITIONING,specialty_longersprint,1,0,0,specialty_longersprint,,,,,,,,,,,
61,SecondPerk,61,SLEIGHT_OF_HAND,specialty_fastreload,1,0,0,specialty_fastreload,,,,,,,,,,,
62,SecondPerk,62,BANDOLIER,specialty_extraammo,1,0,0,specialty_extraammo,,,,,,,,,,,
63,SecondPerk,63,,,,,,,,,,,,,,,,,
64,SecondPerk,64,,,,,,,,,,,,,,,,,
65,SecondPerk,65,,,,,,,,,,,,,,,,,
66,SecondPerk,66,,,,,,,,,,,,,,,,,
67,SecondPerk,67,,,,,,,,,,,,,,,,,
68,SecondPerk,68,,,,,,,,,,,,,,,,,
69,SecondPerk,69,,,,,,,,,,,,,,,,,
70,SecondPerk,70,,,,,,,,,,,,,,,,,
71,SecondPerk,71,,,,,,,,,,,,,,,,,
72,SecondPerk,72,,,,,,,,,,,,,,,,,
73,SecondPerk,73,,,,,,,,,,,,,,,,,
74,SecondPerk,74,,,,,,,,,,,,,,,,,
75,SecondPerk,75,,,,,,,,,,,,,,,,,
76,SecondPerk,76,,,,,,,,,,,,,,,,,
77,SecondPerk,77,,,,,,,,,,,,,,,,,
78,SecondPerk,78,,,,,,,,,,,,,,,,,
79,SecondPerk,79,,,,,,,,,,,,,,,,,
80,ThirdPerk,80,Night Vision,hud_icon_nvg,1,0,0,hud_icon_nvg,,,,,,,,,,,
81,ThirdPerk,81,,,,,,,,,,,,,,,,,
82,ThirdPerk,82,,,,,,,,,,,,,,,,,
83,ThirdPerk,83,,,,,,,,,,,,,,,,,
84,ThirdPerk,84,,,,,,,,,,,,,,,,,
85,ThirdPerk,85,,,,,,,,,,,,,,,,,
86,ThirdPerk,86,,,,,,,,,,,,,,,,,
87,ThirdPerk,87,,,,,,,,,,,,,,,,,
88,ThirdPerk,88,,,,,,,,,,,,,,,,,
89,ThirdPerk,89,,,,,,,,,,,,,,,,,
90,ThirdPerk,90,,,,,,,,,,,,,,,,,
91,ThirdPerk,91,,,,,,,,,,,,,,,,,
92,ThirdPerk,92,,,,,,,,,,,,,,,,,
93,ThirdPerk,93,,,,,,,,,,,,,,,,,
94,ThirdPerk,94,,,,,,,,,,,,,,,,,
95,ThirdPerk,95,,,,,,,,,,,,,,,,,
96,ThirdPerk,96,,,,,,,,,,,,,,,,,
97,ThirdPerk,97,,,,,,,,,,,,,,,,,
98,ThirdPerk,98,,,,,,,,,,,,,,,,,
99,ThirdPerk,99,,,,,,,,,,,,,,,,,
